point_res_7,count
609312345839108095,17
608802363049771007,25
608819021667631103,302
608801841764892671,121
609312395818434559,19
608819094648520703,174
609312305204690943,98
608798022129680383,442
608819004823306239,855
608802369777434623,68
608818968886509567,678
608801901458227199,134
608798149334532095,98
609312262825443327,45
608798155726651391,23
608801860555374591,241
608802015442632703,134
608818967225565183,250
608803201910571007,134
608818977694547967,489
608819092031275007,331
608819050994204671,405
608801869782843391,1746
609312238498480127,71
608819092534591487,408
608819039703138303,168
608801810341167103,117
608797280325074943,8
608797014288760831,111
608802938474725375,54
608802667103256575,59
608803191223484415,63
608818998045310975,228
608818979087056895,404
608803234156380159,65
608802657238253567,16
609312392211333119,20
608819070707433471,132
608796041814212607,6
608818981318426623,151
608801905753194495,259
608803196441198591,29
608802667472355327,49
608798022985318399,310
609312411773566975,259
608801804804685823,40
608802357110636543,49
608797018231406591,16
608818998716399615,670
609312292252680191,242
608819048645394431,280
608797033163128831,2
608818926859583487,100
608802700741574655,65
609312275626459135,27
608801799368867839,36
608819050088235007,28
608802450643615743,14
608801808093020159,25
608801788648226815,167
608818978432745471,199
608819022573600767,326
608801805089898495,87
608802794039672831,61
608801879765286911,342
608796124710436863,92
608798063334522879,50
608844284027731967,388
608801805828095999,358
608802386235883519,90
608803235012018175,22
608803199846973439,265
608819025878712319,39
608818996485029887,227
608818976134266879,256
608802449871863807,11
609312344966692863,47
609312289920647167,54
608803276351078399,112
608801810089508863,142
608803201054932991,244
608819020140904447,385
608818927832662015,7
608802713374818303,118
608801901911212031,324
608802364257730559,50
608802247538638847,238
608819017238446079,41
609312156525002751,160
608802212239376383,221
608801856293961727,434
608798038638460927,29
608801800912371711,128
608798163729383423,56
608819044518199295,129
608818993851006975,180
608802378719690751,83
608844345499451391,236
608802240995524607,208
608819003061698559,104
609312414172708863,48
608819080153006079,465
608802708677197823,16
608818972107735039,134
608802793486024703,129
608796033358495743,12
608819058141298687,152
609312412612427775,76
608802392980324351,172
608796868763189247,746
608802209487912959,32
608798017197178879,834
608798043772289023,125
608802086125043711,40
608818910518575103,510
608801879748509695,192
608818990260682751,27
608801820407496703,242
608818977023459327,3
608801877819129855,63
608802015023202303,103
608801839567077375,312
608801925013438463,57
608819059567362047,12
608797026200584191,58
608797063479558143,83
608845301347778559,345
608801910366928895,185
608818996401143807,202
608802235811364863,49
608818969943474175,43
608819044836966399,207
608819036347695103,186
608845331378995199,26
608801863357169663,568
608801806264303615,38
608803218419351551,326
608802633766928383,135
608801825759428607,3
608819036196700159,166
608818990445232127,36
608802706898812927,13
608796167542669311,13
609312373638955007,109
608801942629515263,16
608796862102634495,196
608796195459956735,26
608801800291614719,236
609312239421227007,22
608796014970667007,31
608803217714708479,55
608801867383701503,45
608796201264873471,15
608802695238647807,255
608801880402821119,33
608801977475792895,22
608818994186551295,63
608797024287981567,74
608798176178077695,12
609313166010089471,38
608802631317454847,35
608807122292965375,26
608801789923295231,54
608801801768009727,45
609312283763408895,74
608803232747094015,29
608801944709890047,30
608797026905227263,52
609312242608898047,26
608818996233371647,28
608796066711601151,15
608801942830841855,32
608802664955772927,72
608796052954284031,23
609312379695529983,45
608796868930961407,296
608819092920467455,101
608818998615736319,763
608797024321535999,59
608798063166750719,192
608818994740199423,58
608798034125389823,25
608802215594819583,32
609312317837934591,4
609312272220684287,284
608803277861027839,110
608802238512496639,24
608798039192109055,291
608798326904586239,1187
608818995696500735,977
608801788748890111,197
608801805391888383,222
608845299418398719,156
608802632105983999,52
608818969373048831,126
608803234005385215,23
608819004991078399,21
608802203196456959,102
608798060734054399,127
608802228395835391,129
608798036826521599,30
608801857636139007,175
608801834382917631,109
608797026922004479,31
608798033705959423,18
608802209806680063,19
608803268784553983,155
608818998649290751,335
608796114543443967,86
608803207262502911,104
609312344597594111,20
608798043554185215,126
608802035172638719,39
608802082316615679,30
609313167771697151,151
609313418356195327,35
608819019503370239,23
609312291715809279,91
608798180389158911,47
608801857820688383,510
608801830322831359,82
608803171006939135,3
608801862300205055,114
608802363368538111,14
608803217781817343,131
608796868998070271,291
609290389815295999,16
608798152102772735,263
608795740763848703,35
608796054699114495,78
608802211618619391,25
608801808311123967,24
608795285916745727,34
608802226130911231,70
608802657909342207,26
608818989589594111,23
608798036524531711,72
609312412310437887,352
608798327391125503,305
608803201675689983,77
608801865085222911,80
608798175490211839,6
608796124525887487,11
608796072935948287,30
608819060137787391,71
608801844734459903,67
608802215561265151,55
608819021466304511,25
608801880537038847,88
608802627173482495,20
608801801482797055,85
608803271015923711,30
608845286869041151,9
608818989254049791,39
608802048443416575,48
608802377226518527,27
608802212776247295,29
608801910350151679,211
608801799519862783,14
608801817404375039,45
608801842503090175,6
608802082299838463,729
608796898291089407,37
608801842301763583,125
608818973986783231,64
608798180137500671,43
608845317705564159,1
608818858391764991,61
608844285638344703,11
608802640595255295,71
608802035139084287,197
608802942736138239,45
